lay1_neurons,lay2_neurons,activation_function,dropout_rates,batch_size,learning_rate,decay_rate
64,32,relu,0.05,64,0.01,0.6
64,32,relu,0.05,64,0.01,0.7
64,32,relu,0.05,64,0.01,0.8
64,32,relu,0.05,64,0.01,0.9
64,32,relu,0.05,64,0.01,0.95
64,32,relu,0.05,64,0.001,0.6
64,32,relu,0.05,64,0.001,0.7
64,32,relu,0.05,64,0.001,0.8
64,32,relu,0.05,64,0.001,0.9
64,32,relu,0.05,64,0.001,0.95
64,32,relu,0.05,128,0.01,0.6
64,32,relu,0.05,128,0.01,0.7
64,32,relu,0.05,128,0.01,0.8
64,32,relu,0.05,128,0.01,0.9
64,32,relu,0.05,128,0.01,0.95
64,32,relu,0.05,128,0.001,0.6
64,32,relu,0.05,128,0.001,0.7
64,32,relu,0.05,128,0.001,0.8
64,32,relu,0.05,128,0.001,0.9
64,32,relu,0.05,128,0.001,0.95
64,32,relu,0.05,256,0.01,0.6
64,32,relu,0.05,256,0.01,0.7
64,32,relu,0.05,256,0.01,0.8
64,32,relu,0.05,256,0.01,0.9
64,32,relu,0.05,256,0.01,0.95
64,32,relu,0.05,256,0.001,0.6
64,32,relu,0.05,256,0.001,0.7
64,32,relu,0.05,256,0.001,0.8
64,32,relu,0.05,256,0.001,0.9
64,32,relu,0.05,256,0.001,0.95
64,32,relu,0.05,512,0.01,0.6
64,32,relu,0.05,512,0.01,0.7
64,32,relu,0.05,512,0.01,0.8
64,32,relu,0.05,512,0.01,0.9
64,32,relu,0.05,512,0.01,0.95
64,32,relu,0.05,512,0.001,0.6
64,32,relu,0.05,512,0.001,0.7
64,32,relu,0.05,512,0.001,0.8
64,32,relu,0.05,512,0.001,0.9
64,32,relu,0.05,512,0.001,0.95
64,32,relu,0.05,1024,0.01,0.6
64,32,relu,0.05,1024,0.01,0.7
64,32,relu,0.05,1024,0.01,0.8
64,32,relu,0.05,1024,0.01,0.9
64,32,relu,0.05,1024,0.01,0.95
64,32,relu,0.05,1024,0.001,0.6
64,32,relu,0.05,1024,0.001,0.7
64,32,relu,0.05,1024,0.001,0.8
64,32,relu,0.05,1024,0.001,0.9
64,32,relu,0.05,1024,0.001,0.95
64,32,relu,0.05,2048,0.01,0.6
64,32,relu,0.05,2048,0.01,0.7
64,32,relu,0.05,2048,0.01,0.8
64,32,relu,0.05,2048,0.01,0.9
64,32,relu,0.05,2048,0.01,0.95
64,32,relu,0.05,2048,0.001,0.6
64,32,relu,0.05,2048,0.001,0.7
64,32,relu,0.05,2048,0.001,0.8
64,32,relu,0.05,2048,0.001,0.9
64,32,relu,0.05,2048,0.001,0.95
64,32,relu,0.05,4096,0.01,0.6
64,32,relu,0.05,4096,0.01,0.7
64,32,relu,0.05,4096,0.01,0.8
64,32,relu,0.05,4096,0.01,0.9
64,32,relu,0.05,4096,0.01,0.95
64,32,relu,0.05,4096,0.001,0.6
64,32,relu,0.05,4096,0.001,0.7
64,32,relu,0.05,4096,0.001,0.8
64,32,relu,0.05,4096,0.001,0.9
64,32,relu,0.05,4096,0.001,0.95
64,32,relu,0.1,64,0.01,0.6
64,32,relu,0.1,64,0.01,0.7
64,32,relu,0.1,64,0.01,0.8
64,32,relu,0.1,64,0.01,0.9
64,32,relu,0.1,64,0.01,0.95
64,32,relu,0.1,64,0.001,0.6
64,32,relu,0.1,64,0.001,0.7
64,32,relu,0.1,64,0.001,0.8
64,32,relu,0.1,64,0.001,0.9
64,32,relu,0.1,64,0.001,0.95
64,32,relu,0.1,128,0.01,0.6
64,32,relu,0.1,128,0.01,0.7
64,32,relu,0.1,128,0.01,0.8
64,32,relu,0.1,128,0.01,0.9
64,32,relu,0.1,128,0.01,0.95
64,32,relu,0.1,128,0.001,0.6
64,32,relu,0.1,128,0.001,0.7
64,32,relu,0.1,128,0.001,0.8
64,32,relu,0.1,128,0.001,0.9
64,32,relu,0.1,128,0.001,0.95
64,32,relu,0.1,256,0.01,0.6
64,32,relu,0.1,256,0.01,0.7
64,32,relu,0.1,256,0.01,0.8
64,32,relu,0.1,256,0.01,0.9
64,32,relu,0.1,256,0.01,0.95
64,32,relu,0.1,256,0.001,0.6
64,32,relu,0.1,256,0.001,0.7
64,32,relu,0.1,256,0.001,0.8
64,32,relu,0.1,256,0.001,0.9
64,32,relu,0.1,256,0.001,0.95
64,32,relu,0.1,512,0.01,0.6
64,32,relu,0.1,512,0.01,0.7
64,32,relu,0.1,512,0.01,0.8
64,32,relu,0.1,512,0.01,0.9
64,32,relu,0.1,512,0.01,0.95
64,32,relu,0.1,512,0.001,0.6
64,32,relu,0.1,512,0.001,0.7
64,32,relu,0.1,512,0.001,0.8
64,32,relu,0.1,512,0.001,0.9
64,32,relu,0.1,512,0.001,0.95
64,32,relu,0.1,1024,0.01,0.6
64,32,relu,0.1,1024,0.01,0.7
64,32,relu,0.1,1024,0.01,0.8
64,32,relu,0.1,1024,0.01,0.9
64,32,relu,0.1,1024,0.01,0.95
64,32,relu,0.1,1024,0.001,0.6
64,32,relu,0.1,1024,0.001,0.7
64,32,relu,0.1,1024,0.001,0.8
64,32,relu,0.1,1024,0.001,0.9
64,32,relu,0.1,1024,0.001,0.95
64,32,relu,0.1,2048,0.01,0.6
64,32,relu,0.1,2048,0.01,0.7
64,32,relu,0.1,2048,0.01,0.8
64,32,relu,0.1,2048,0.01,0.9
64,32,relu,0.1,2048,0.01,0.95
64,32,relu,0.1,2048,0.001,0.6
64,32,relu,0.1,2048,0.001,0.7
64,32,relu,0.1,2048,0.001,0.8
64,32,relu,0.1,2048,0.001,0.9
64,32,relu,0.1,2048,0.001,0.95
64,32,relu,0.1,4096,0.01,0.6
64,32,relu,0.1,4096,0.01,0.7
64,32,relu,0.1,4096,0.01,0.8
64,32,relu,0.1,4096,0.01,0.9
64,32,relu,0.1,4096,0.01,0.95
64,32,relu,0.1,4096,0.001,0.6
64,32,relu,0.1,4096,0.001,0.7
64,32,relu,0.1,4096,0.001,0.8
64,32,relu,0.1,4096,0.001,0.9
64,32,relu,0.1,4096,0.001,0.95
64,32,relu,0.2,64,0.01,0.6
64,32,relu,0.2,64,0.01,0.7
64,32,relu,0.2,64,0.01,0.8
64,32,relu,0.2,64,0.01,0.9
64,32,relu,0.2,64,0.01,0.95
64,32,relu,0.2,64,0.001,0.6
64,32,relu,0.2,64,0.001,0.7
64,32,relu,0.2,64,0.001,0.8
64,32,relu,0.2,64,0.001,0.9
64,32,relu,0.2,64,0.001,0.95
64,32,relu,0.2,128,0.01,0.6
64,32,relu,0.2,128,0.01,0.7
64,32,relu,0.2,128,0.01,0.8
64,32,relu,0.2,128,0.01,0.9
64,32,relu,0.2,128,0.01,0.95
64,32,relu,0.2,128,0.001,0.6
64,32,relu,0.2,128,0.001,0.7
64,32,relu,0.2,128,0.001,0.8
64,32,relu,0.2,128,0.001,0.9
64,32,relu,0.2,128,0.001,0.95
64,32,relu,0.2,256,0.01,0.6
64,32,relu,0.2,256,0.01,0.7
64,32,relu,0.2,256,0.01,0.8
64,32,relu,0.2,256,0.01,0.9
64,32,relu,0.2,256,0.01,0.95
64,32,relu,0.2,256,0.001,0.6
64,32,relu,0.2,256,0.001,0.7
64,32,relu,0.2,256,0.001,0.8
64,32,relu,0.2,256,0.001,0.9
64,32,relu,0.2,256,0.001,0.95
64,32,relu,0.2,512,0.01,0.6
64,32,relu,0.2,512,0.01,0.7
64,32,relu,0.2,512,0.01,0.8
64,32,relu,0.2,512,0.01,0.9
64,32,relu,0.2,512,0.01,0.95
64,32,relu,0.2,512,0.001,0.6
64,32,relu,0.2,512,0.001,0.7
64,32,relu,0.2,512,0.001,0.8
64,32,relu,0.2,512,0.001,0.9
64,32,relu,0.2,512,0.001,0.95
64,32,relu,0.2,1024,0.01,0.6
64,32,relu,0.2,1024,0.01,0.7
64,32,relu,0.2,1024,0.01,0.8
64,32,relu,0.2,1024,0.01,0.9
64,32,relu,0.2,1024,0.01,0.95
64,32,relu,0.2,1024,0.001,0.6
64,32,relu,0.2,1024,0.001,0.7
64,32,relu,0.2,1024,0.001,0.8
64,32,relu,0.2,1024,0.001,0.9
64,32,relu,0.2,1024,0.001,0.95
64,32,relu,0.2,2048,0.01,0.6
64,32,relu,0.2,2048,0.01,0.7
64,32,relu,0.2,2048,0.01,0.8
64,32,relu,0.2,2048,0.01,0.9
64,32,relu,0.2,2048,0.01,0.95
64,32,relu,0.2,2048,0.001,0.6
64,32,relu,0.2,2048,0.001,0.7
64,32,relu,0.2,2048,0.001,0.8
64,32,relu,0.2,2048,0.001,0.9
64,32,relu,0.2,2048,0.001,0.95
64,32,relu,0.2,4096,0.01,0.6
64,32,relu,0.2,4096,0.01,0.7
64,32,relu,0.2,4096,0.01,0.8
64,32,relu,0.2,4096,0.01,0.9
64,32,relu,0.2,4096,0.01,0.95
64,32,relu,0.2,4096,0.001,0.6
64,32,relu,0.2,4096,0.001,0.7
64,32,relu,0.2,4096,0.001,0.8
64,32,relu,0.2,4096,0.001,0.9
64,32,relu,0.2,4096,0.001,0.95
64,32,relu,0.25,64,0.01,0.6
64,32,relu,0.25,64,0.01,0.7
64,32,relu,0.25,64,0.01,0.8
64,32,relu,0.25,64,0.01,0.9
64,32,relu,0.25,64,0.01,0.95
64,32,relu,0.25,64,0.001,0.6
64,32,relu,0.25,64,0.001,0.7
64,32,relu,0.25,64,0.001,0.8
64,32,relu,0.25,64,0.001,0.9
64,32,relu,0.25,64,0.001,0.95
64,32,relu,0.25,128,0.01,0.6
64,32,relu,0.25,128,0.01,0.7
64,32,relu,0.25,128,0.01,0.8
64,32,relu,0.25,128,0.01,0.9
64,32,relu,0.25,128,0.01,0.95
64,32,relu,0.25,128,0.001,0.6
64,32,relu,0.25,128,0.001,0.7
64,32,relu,0.25,128,0.001,0.8
64,32,relu,0.25,128,0.001,0.9
64,32,relu,0.25,128,0.001,0.95
64,32,relu,0.25,256,0.01,0.6
64,32,relu,0.25,256,0.01,0.7
64,32,relu,0.25,256,0.01,0.8
64,32,relu,0.25,256,0.01,0.9
64,32,relu,0.25,256,0.01,0.95
64,32,relu,0.25,256,0.001,0.6
64,32,relu,0.25,256,0.001,0.7
64,32,relu,0.25,256,0.001,0.8
64,32,relu,0.25,256,0.001,0.9
64,32,relu,0.25,256,0.001,0.95
64,32,relu,0.25,512,0.01,0.6
64,32,relu,0.25,512,0.01,0.7
64,32,relu,0.25,512,0.01,0.8
64,32,relu,0.25,512,0.01,0.9
64,32,relu,0.25,512,0.01,0.95
64,32,relu,0.25,512,0.001,0.6
64,32,relu,0.25,512,0.001,0.7
64,32,relu,0.25,512,0.001,0.8
64,32,relu,0.25,512,0.001,0.9
64,32,relu,0.25,512,0.001,0.95
64,32,relu,0.25,1024,0.01,0.6
64,32,relu,0.25,1024,0.01,0.7
64,32,relu,0.25,1024,0.01,0.8
64,32,relu,0.25,1024,0.01,0.9
64,32,relu,0.25,1024,0.01,0.95
64,32,relu,0.25,1024,0.001,0.6
64,32,relu,0.25,1024,0.001,0.7
64,32,relu,0.25,1024,0.001,0.8
64,32,relu,0.25,1024,0.001,0.9
64,32,relu,0.25,1024,0.001,0.95
64,32,relu,0.25,2048,0.01,0.6
64,32,relu,0.25,2048,0.01,0.7
64,32,relu,0.25,2048,0.01,0.8
64,32,relu,0.25,2048,0.01,0.9
64,32,relu,0.25,2048,0.01,0.95
64,32,relu,0.25,2048,0.001,0.6
64,32,relu,0.25,2048,0.001,0.7
64,32,relu,0.25,2048,0.001,0.8
64,32,relu,0.25,2048,0.001,0.9
64,32,relu,0.25,2048,0.001,0.95
64,32,relu,0.25,4096,0.01,0.6
64,32,relu,0.25,4096,0.01,0.7
64,32,relu,0.25,4096,0.01,0.8
64,32,relu,0.25,4096,0.01,0.9
64,32,relu,0.25,4096,0.01,0.95
64,32,relu,0.25,4096,0.001,0.6
64,32,relu,0.25,4096,0.001,0.7
64,32,relu,0.25,4096,0.001,0.8
64,32,relu,0.25,4096,0.001,0.9
64,32,relu,0.25,4096,0.001,0.95
64,16,relu,0.05,64,0.01,0.6
64,16,relu,0.05,64,0.01,0.7
64,16,relu,0.05,64,0.01,0.8
64,16,relu,0.05,64,0.01,0.9
64,16,relu,0.05,64,0.01,0.95
64,16,relu,0.05,64,0.001,0.6
64,16,relu,0.05,64,0.001,0.7
64,16,relu,0.05,64,0.001,0.8
64,16,relu,0.05,64,0.001,0.9
64,16,relu,0.05,64,0.001,0.95
64,16,relu,0.05,128,0.01,0.6
64,16,relu,0.05,128,0.01,0.7
64,16,relu,0.05,128,0.01,0.8
64,16,relu,0.05,128,0.01,0.9
64,16,relu,0.05,128,0.01,0.95
64,16,relu,0.05,128,0.001,0.6
64,16,relu,0.05,128,0.001,0.7
64,16,relu,0.05,128,0.001,0.8
64,16,relu,0.05,128,0.001,0.9
64,16,relu,0.05,128,0.001,0.95
64,16,relu,0.05,256,0.01,0.6
64,16,relu,0.05,256,0.01,0.7
64,16,relu,0.05,256,0.01,0.8
64,16,relu,0.05,256,0.01,0.9
64,16,relu,0.05,256,0.01,0.95
64,16,relu,0.05,256,0.001,0.6
64,16,relu,0.05,256,0.001,0.7
64,16,relu,0.05,256,0.001,0.8
64,16,relu,0.05,256,0.001,0.9
64,16,relu,0.05,256,0.001,0.95
64,16,relu,0.05,512,0.01,0.6
64,16,relu,0.05,512,0.01,0.7
64,16,relu,0.05,512,0.01,0.8
64,16,relu,0.05,512,0.01,0.9
64,16,relu,0.05,512,0.01,0.95
64,16,relu,0.05,512,0.001,0.6
64,16,relu,0.05,512,0.001,0.7
64,16,relu,0.05,512,0.001,0.8
64,16,relu,0.05,512,0.001,0.9
64,16,relu,0.05,512,0.001,0.95
64,16,relu,0.05,1024,0.01,0.6
64,16,relu,0.05,1024,0.01,0.7
64,16,relu,0.05,1024,0.01,0.8
64,16,relu,0.05,1024,0.01,0.9
64,16,relu,0.05,1024,0.01,0.95
64,16,relu,0.05,1024,0.001,0.6
64,16,relu,0.05,1024,0.001,0.7
64,16,relu,0.05,1024,0.001,0.8
64,16,relu,0.05,1024,0.001,0.9
64,16,relu,0.05,1024,0.001,0.95
64,16,relu,0.05,2048,0.01,0.6
64,16,relu,0.05,2048,0.01,0.7
64,16,relu,0.05,2048,0.01,0.8
64,16,relu,0.05,2048,0.01,0.9
64,16,relu,0.05,2048,0.01,0.95
64,16,relu,0.05,2048,0.001,0.6
64,16,relu,0.05,2048,0.001,0.7
64,16,relu,0.05,2048,0.001,0.8
64,16,relu,0.05,2048,0.001,0.9
64,16,relu,0.05,2048,0.001,0.95
64,16,relu,0.05,4096,0.01,0.6
64,16,relu,0.05,4096,0.01,0.7
64,16,relu,0.05,4096,0.01,0.8
64,16,relu,0.05,4096,0.01,0.9
64,16,relu,0.05,4096,0.01,0.95
64,16,relu,0.05,4096,0.001,0.6
64,16,relu,0.05,4096,0.001,0.7
64,16,relu,0.05,4096,0.001,0.8
64,16,relu,0.05,4096,0.001,0.9
64,16,relu,0.05,4096,0.001,0.95
64,16,relu,0.1,64,0.01,0.6
64,16,relu,0.1,64,0.01,0.7
64,16,relu,0.1,64,0.01,0.8
64,16,relu,0.1,64,0.01,0.9
64,16,relu,0.1,64,0.01,0.95
64,16,relu,0.1,64,0.001,0.6
64,16,relu,0.1,64,0.001,0.7
64,16,relu,0.1,64,0.001,0.8
64,16,relu,0.1,64,0.001,0.9
64,16,relu,0.1,64,0.001,0.95
64,16,relu,0.1,128,0.01,0.6
64,16,relu,0.1,128,0.01,0.7
64,16,relu,0.1,128,0.01,0.8
64,16,relu,0.1,128,0.01,0.9
64,16,relu,0.1,128,0.01,0.95
64,16,relu,0.1,128,0.001,0.6
64,16,relu,0.1,128,0.001,0.7
64,16,relu,0.1,128,0.001,0.8
64,16,relu,0.1,128,0.001,0.9
64,16,relu,0.1,128,0.001,0.95
64,16,relu,0.1,256,0.01,0.6
64,16,relu,0.1,256,0.01,0.7
64,16,relu,0.1,256,0.01,0.8
64,16,relu,0.1,256,0.01,0.9
64,16,relu,0.1,256,0.01,0.95
64,16,relu,0.1,256,0.001,0.6
64,16,relu,0.1,256,0.001,0.7
64,16,relu,0.1,256,0.001,0.8
64,16,relu,0.1,256,0.001,0.9
64,16,relu,0.1,256,0.001,0.95
64,16,relu,0.1,512,0.01,0.6
64,16,relu,0.1,512,0.01,0.7
64,16,relu,0.1,512,0.01,0.8
64,16,relu,0.1,512,0.01,0.9
64,16,relu,0.1,512,0.01,0.95
64,16,relu,0.1,512,0.001,0.6
64,16,relu,0.1,512,0.001,0.7
64,16,relu,0.1,512,0.001,0.8
64,16,relu,0.1,512,0.001,0.9
64,16,relu,0.1,512,0.001,0.95
64,16,relu,0.1,1024,0.01,0.6
64,16,relu,0.1,1024,0.01,0.7
64,16,relu,0.1,1024,0.01,0.8
64,16,relu,0.1,1024,0.01,0.9
64,16,relu,0.1,1024,0.01,0.95
64,16,relu,0.1,1024,0.001,0.6
64,16,relu,0.1,1024,0.001,0.7
64,16,relu,0.1,1024,0.001,0.8
64,16,relu,0.1,1024,0.001,0.9
64,16,relu,0.1,1024,0.001,0.95
64,16,relu,0.1,2048,0.01,0.6
64,16,relu,0.1,2048,0.01,0.7
64,16,relu,0.1,2048,0.01,0.8
64,16,relu,0.1,2048,0.01,0.9
64,16,relu,0.1,2048,0.01,0.95
64,16,relu,0.1,2048,0.001,0.6
64,16,relu,0.1,2048,0.001,0.7
64,16,relu,0.1,2048,0.001,0.8
64,16,relu,0.1,2048,0.001,0.9
64,16,relu,0.1,2048,0.001,0.95
64,16,relu,0.1,4096,0.01,0.6
64,16,relu,0.1,4096,0.01,0.7
64,16,relu,0.1,4096,0.01,0.8
64,16,relu,0.1,4096,0.01,0.9
64,16,relu,0.1,4096,0.01,0.95
64,16,relu,0.1,4096,0.001,0.6
64,16,relu,0.1,4096,0.001,0.7
64,16,relu,0.1,4096,0.001,0.8
64,16,relu,0.1,4096,0.001,0.9
64,16,relu,0.1,4096,0.001,0.95
64,16,relu,0.2,64,0.01,0.6
64,16,relu,0.2,64,0.01,0.7
64,16,relu,0.2,64,0.01,0.8
64,16,relu,0.2,64,0.01,0.9
64,16,relu,0.2,64,0.01,0.95
64,16,relu,0.2,64,0.001,0.6
64,16,relu,0.2,64,0.001,0.7
64,16,relu,0.2,64,0.001,0.8
64,16,relu,0.2,64,0.001,0.9
64,16,relu,0.2,64,0.001,0.95
64,16,relu,0.2,128,0.01,0.6
64,16,relu,0.2,128,0.01,0.7
64,16,relu,0.2,128,0.01,0.8
64,16,relu,0.2,128,0.01,0.9
64,16,relu,0.2,128,0.01,0.95
64,16,relu,0.2,128,0.001,0.6
64,16,relu,0.2,128,0.001,0.7
64,16,relu,0.2,128,0.001,0.8
64,16,relu,0.2,128,0.001,0.9
64,16,relu,0.2,128,0.001,0.95
64,16,relu,0.2,256,0.01,0.6
64,16,relu,0.2,256,0.01,0.7
64,16,relu,0.2,256,0.01,0.8
64,16,relu,0.2,256,0.01,0.9
64,16,relu,0.2,256,0.01,0.95
64,16,relu,0.2,256,0.001,0.6
64,16,relu,0.2,256,0.001,0.7
64,16,relu,0.2,256,0.001,0.8
64,16,relu,0.2,256,0.001,0.9
64,16,relu,0.2,256,0.001,0.95
64,16,relu,0.2,512,0.01,0.6
64,16,relu,0.2,512,0.01,0.7
64,16,relu,0.2,512,0.01,0.8
64,16,relu,0.2,512,0.01,0.9
64,16,relu,0.2,512,0.01,0.95
64,16,relu,0.2,512,0.001,0.6
64,16,relu,0.2,512,0.001,0.7
64,16,relu,0.2,512,0.001,0.8
64,16,relu,0.2,512,0.001,0.9
64,16,relu,0.2,512,0.001,0.95
64,16,relu,0.2,1024,0.01,0.6
64,16,relu,0.2,1024,0.01,0.7
64,16,relu,0.2,1024,0.01,0.8
64,16,relu,0.2,1024,0.01,0.9
64,16,relu,0.2,1024,0.01,0.95
64,16,relu,0.2,1024,0.001,0.6
64,16,relu,0.2,1024,0.001,0.7
64,16,relu,0.2,1024,0.001,0.8
64,16,relu,0.2,1024,0.001,0.9
64,16,relu,0.2,1024,0.001,0.95
64,16,relu,0.2,2048,0.01,0.6
64,16,relu,0.2,2048,0.01,0.7
64,16,relu,0.2,2048,0.01,0.8
64,16,relu,0.2,2048,0.01,0.9
64,16,relu,0.2,2048,0.01,0.95
64,16,relu,0.2,2048,0.001,0.6
64,16,relu,0.2,2048,0.001,0.7
64,16,relu,0.2,2048,0.001,0.8
64,16,relu,0.2,2048,0.001,0.9
64,16,relu,0.2,2048,0.001,0.95
64,16,relu,0.2,4096,0.01,0.6
64,16,relu,0.2,4096,0.01,0.7
64,16,relu,0.2,4096,0.01,0.8
64,16,relu,0.2,4096,0.01,0.9
64,16,relu,0.2,4096,0.01,0.95
64,16,relu,0.2,4096,0.001,0.6
64,16,relu,0.2,4096,0.001,0.7
64,16,relu,0.2,4096,0.001,0.8
64,16,relu,0.2,4096,0.001,0.9
64,16,relu,0.2,4096,0.001,0.95
64,16,relu,0.25,64,0.01,0.6
64,16,relu,0.25,64,0.01,0.7
64,16,relu,0.25,64,0.01,0.8
64,16,relu,0.25,64,0.01,0.9
64,16,relu,0.25,64,0.01,0.95
64,16,relu,0.25,64,0.001,0.6
64,16,relu,0.25,64,0.001,0.7
64,16,relu,0.25,64,0.001,0.8
64,16,relu,0.25,64,0.001,0.9
64,16,relu,0.25,64,0.001,0.95
64,16,relu,0.25,128,0.01,0.6
64,16,relu,0.25,128,0.01,0.7
64,16,relu,0.25,128,0.01,0.8
64,16,relu,0.25,128,0.01,0.9
64,16,relu,0.25,128,0.01,0.95
64,16,relu,0.25,128,0.001,0.6
64,16,relu,0.25,128,0.001,0.7
64,16,relu,0.25,128,0.001,0.8
64,16,relu,0.25,128,0.001,0.9
64,16,relu,0.25,128,0.001,0.95
64,16,relu,0.25,256,0.01,0.6
64,16,relu,0.25,256,0.01,0.7
64,16,relu,0.25,256,0.01,0.8
64,16,relu,0.25,256,0.01,0.9
64,16,relu,0.25,256,0.01,0.95
64,16,relu,0.25,256,0.001,0.6
64,16,relu,0.25,256,0.001,0.7
64,16,relu,0.25,256,0.001,0.8
64,16,relu,0.25,256,0.001,0.9
64,16,relu,0.25,256,0.001,0.95
64,16,relu,0.25,512,0.01,0.6
64,16,relu,0.25,512,0.01,0.7
64,16,relu,0.25,512,0.01,0.8
64,16,relu,0.25,512,0.01,0.9
64,16,relu,0.25,512,0.01,0.95
64,16,relu,0.25,512,0.001,0.6
64,16,relu,0.25,512,0.001,0.7
64,16,relu,0.25,512,0.001,0.8
64,16,relu,0.25,512,0.001,0.9
64,16,relu,0.25,512,0.001,0.95
64,16,relu,0.25,1024,0.01,0.6
64,16,relu,0.25,1024,0.01,0.7
64,16,relu,0.25,1024,0.01,0.8
64,16,relu,0.25,1024,0.01,0.9
64,16,relu,0.25,1024,0.01,0.95
64,16,relu,0.25,1024,0.001,0.6
64,16,relu,0.25,1024,0.001,0.7
64,16,relu,0.25,1024,0.001,0.8
64,16,relu,0.25,1024,0.001,0.9
64,16,relu,0.25,1024,0.001,0.95
64,16,relu,0.25,2048,0.01,0.6
64,16,relu,0.25,2048,0.01,0.7
64,16,relu,0.25,2048,0.01,0.8
64,16,relu,0.25,2048,0.01,0.9
64,16,relu,0.25,2048,0.01,0.95
64,16,relu,0.25,2048,0.001,0.6
64,16,relu,0.25,2048,0.001,0.7
64,16,relu,0.25,2048,0.001,0.8
64,16,relu,0.25,2048,0.001,0.9
64,16,relu,0.25,2048,0.001,0.95
64,16,relu,0.25,4096,0.01,0.6
64,16,relu,0.25,4096,0.01,0.7
64,16,relu,0.25,4096,0.01,0.8
64,16,relu,0.25,4096,0.01,0.9
64,16,relu,0.25,4096,0.01,0.95
64,16,relu,0.25,4096,0.001,0.6
64,16,relu,0.25,4096,0.001,0.7
64,16,relu,0.25,4096,0.001,0.8
64,16,relu,0.25,4096,0.001,0.9
64,16,relu,0.25,4096,0.001,0.95
64,8,relu,0.05,64,0.01,0.6
64,8,relu,0.05,64,0.01,0.7
64,8,relu,0.05,64,0.01,0.8
64,8,relu,0.05,64,0.01,0.9
64,8,relu,0.05,64,0.01,0.95
64,8,relu,0.05,64,0.001,0.6
64,8,relu,0.05,64,0.001,0.7
64,8,relu,0.05,64,0.001,0.8
64,8,relu,0.05,64,0.001,0.9
64,8,relu,0.05,64,0.001,0.95
64,8,relu,0.05,128,0.01,0.6
64,8,relu,0.05,128,0.01,0.7
64,8,relu,0.05,128,0.01,0.8
64,8,relu,0.05,128,0.01,0.9
64,8,relu,0.05,128,0.01,0.95
64,8,relu,0.05,128,0.001,0.6
64,8,relu,0.05,128,0.001,0.7
64,8,relu,0.05,128,0.001,0.8
64,8,relu,0.05,128,0.001,0.9
64,8,relu,0.05,128,0.001,0.95
64,8,relu,0.05,256,0.01,0.6
64,8,relu,0.05,256,0.01,0.7
64,8,relu,0.05,256,0.01,0.8
64,8,relu,0.05,256,0.01,0.9
64,8,relu,0.05,256,0.01,0.95
64,8,relu,0.05,256,0.001,0.6
64,8,relu,0.05,256,0.001,0.7
64,8,relu,0.05,256,0.001,0.8
64,8,relu,0.05,256,0.001,0.9
64,8,relu,0.05,256,0.001,0.95
64,8,relu,0.05,512,0.01,0.6
64,8,relu,0.05,512,0.01,0.7
64,8,relu,0.05,512,0.01,0.8
64,8,relu,0.05,512,0.01,0.9
64,8,relu,0.05,512,0.01,0.95
64,8,relu,0.05,512,0.001,0.6
64,8,relu,0.05,512,0.001,0.7
64,8,relu,0.05,512,0.001,0.8
64,8,relu,0.05,512,0.001,0.9
64,8,relu,0.05,512,0.001,0.95
64,8,relu,0.05,1024,0.01,0.6
64,8,relu,0.05,1024,0.01,0.7
64,8,relu,0.05,1024,0.01,0.8
64,8,relu,0.05,1024,0.01,0.9
64,8,relu,0.05,1024,0.01,0.95
64,8,relu,0.05,1024,0.001,0.6
64,8,relu,0.05,1024,0.001,0.7
64,8,relu,0.05,1024,0.001,0.8
64,8,relu,0.05,1024,0.001,0.9
64,8,relu,0.05,1024,0.001,0.95
64,8,relu,0.05,2048,0.01,0.6
64,8,relu,0.05,2048,0.01,0.7
64,8,relu,0.05,2048,0.01,0.8
64,8,relu,0.05,2048,0.01,0.9
64,8,relu,0.05,2048,0.01,0.95
64,8,relu,0.05,2048,0.001,0.6
64,8,relu,0.05,2048,0.001,0.7
64,8,relu,0.05,2048,0.001,0.8
64,8,relu,0.05,2048,0.001,0.9
64,8,relu,0.05,2048,0.001,0.95
64,8,relu,0.05,4096,0.01,0.6
64,8,relu,0.05,4096,0.01,0.7
64,8,relu,0.05,4096,0.01,0.8
64,8,relu,0.05,4096,0.01,0.9
64,8,relu,0.05,4096,0.01,0.95
64,8,relu,0.05,4096,0.001,0.6
64,8,relu,0.05,4096,0.001,0.7
64,8,relu,0.05,4096,0.001,0.8
64,8,relu,0.05,4096,0.001,0.9
64,8,relu,0.05,4096,0.001,0.95
64,8,relu,0.1,64,0.01,0.6
64,8,relu,0.1,64,0.01,0.7
64,8,relu,0.1,64,0.01,0.8
64,8,relu,0.1,64,0.01,0.9
64,8,relu,0.1,64,0.01,0.95
64,8,relu,0.1,64,0.001,0.6
64,8,relu,0.1,64,0.001,0.7
64,8,relu,0.1,64,0.001,0.8
64,8,relu,0.1,64,0.001,0.9
64,8,relu,0.1,64,0.001,0.95
64,8,relu,0.1,128,0.01,0.6
64,8,relu,0.1,128,0.01,0.7
64,8,relu,0.1,128,0.01,0.8
64,8,relu,0.1,128,0.01,0.9
64,8,relu,0.1,128,0.01,0.95
64,8,relu,0.1,128,0.001,0.6
64,8,relu,0.1,128,0.001,0.7
64,8,relu,0.1,128,0.001,0.8
64,8,relu,0.1,128,0.001,0.9
64,8,relu,0.1,128,0.001,0.95
64,8,relu,0.1,256,0.01,0.6
